Message ID,Subject,Created,Hostname,Sender,Recipient,Forward,Event Date,Status,Code,Message,ImprovMX server,Server
<20240426094304.bf5e7b6a663220c3@cbd-hub-international.com>,Latest NEW EQUIPMENT- Candy🍬machines + Novel Food license,1714124597431,m34-137.soundest.email,gmp@cbd-hub-international.com,office@stamm-baum.at,hamzawalker0@gmail.com,1714124600378,QUEUED,250,2.0.0 Email queued for forwarding.,mx1.improvmx.com,m34-137.soundest.email.
<20240426094304.bf5e7b6a663220c3@cbd-hub-international.com>,Latest NEW EQUIPMENT- Candy🍬machines + Novel Food license,1714124597431,m34-137.soundest.email,gmp@cbd-hub-international.com,office@stamm-baum.at,hamzawalker0@gmail.com,1714124601913,DELIVERED,250,2.0.0 OK  1714124601 cs13-20020a056000088d00b0034ad9fb4052si6306870wrb.426 - gsmtp,gmail-smtp-in.l.google.com,mail17.mxc.infra.improvmx.com
<CADL0Zrv7J_7LReKa0_zHGnBqMTCPWXqbmbXuF7xxZDP--974Eg@mail.gmail.com>,Urban Garden - new pricelist,1714124400982,mail-qk1-x743.google.com,assistant.urbangarden@gmail.com,office@stamm-baum.at,hamzawalker0@gmail.com,1714124403708,QUEUED,250,2.0.0 Email queued for forwarding.,mx1.improvmx.com,mail-qk1-x743.google.com.
<CADL0Zrv7J_7LReKa0_zHGnBqMTCPWXqbmbXuF7xxZDP--974Eg@mail.gmail.com>,Urban Garden - new pricelist,1714124400982,mail-qk1-x743.google.com,assistant.urbangarden@gmail.com,office@stamm-baum.at,hamzawalker0@gmail.com,1714124405849,DELIVERED,250,2.0.0 OK  1714124405 t6-20020a5d6a46000000b0034a7a76f739si7945658wrw.249 - gsmtp,gmail-smtp-in.l.google.com,mail21.mxc.infra.improvmx.com
<20240426093139.9fbcea68e6e93e42@cioeu50414.improv.mx>,Alias test for stamm-baum.at,1714124253849,a101.a5d06dfa.euw1.send.eu.mailgun.net,no-reply@improv.mx,test@stamm-baum.at,hamzawalker0@gmail.com,1714124256069,QUEUED,250,2.0.0 Email queued for forwarding.,mx1.improvmx.com,a101.a5d06dfa.euw1.send.eu.mailgun.net.
<20240426093139.9fbcea68e6e93e42@cioeu50414.improv.mx>,Alias test for stamm-baum.at,1714124253849,a101.a5d06dfa.euw1.send.eu.mailgun.net,no-reply@improv.mx,test@stamm-baum.at,hamzawalker0@gmail.com,1714124257202,DELIVERED,250,2.0.0 OK  1714124257 h15-20020adf9ccf000000b003473a0dc651si3233878wre.122 - gsmtp,gmail-smtp-in.l.google.com,mail7.mxc.infra.improvmx.com
<1_LQObBfjYRW@newsletter.sweetseeds.es>,Closed for local holiday: May 1st,1714124055768,host56-22-139.mx-router-i.com,export@sweetseeds.es,office@stamm-baum.at,hamzawalker0@gmail.com,1714124056728,QUEUED,250,2.0.0 Email queued for forwarding.,mx1.improvmx.com,host56-22-139.mx-router-i.com.
<1_LQObBfjYRW@newsletter.sweetseeds.es>,Closed for local holiday: May 1st,1714124055768,host56-22-139.mx-router-i.com,export@sweetseeds.es,office@stamm-baum.at,hamzawalker0@gmail.com,1714124058301,DELIVERED,250,2.0.0 OK  1714124058 t13-20020a5d690d000000b0034c77bce315si18012wru.78 - gsmtp,gmail-smtp-in.l.google.com,mail14.mxa.infra.improvmx.com
<20240426092639.8bbb1adc13d18b5c@cioeu50414.improv.mx>,Alias test for stamm-baum.at,1714123974424,m205-178.eu.mailgun.net,no-reply@improv.mx,office@stamm-baum.at,hamzawalker0@gmail.com,1714123987851,QUEUED,250,2.0.0 Email queued for processing.,mx1.improvmx.com,m205-178.eu.mailgun.net.
<20240426092639.8bbb1adc13d18b5c@cioeu50414.improv.mx>,Alias test for stamm-baum.at,1714123974424,m205-178.eu.mailgun.net,no-reply@improv.mx,office@stamm-baum.at,hamzawalker0@gmail.com,1714123997360,DELIVERED,250,2.0.0 OK  1714123997 h16-20020adfe990000000b0034c5d9fa5easi476170wrm.631 - gsmtp,gmail-smtp-in.l.google.com,mail18.mxd.infra.improvmx.com
<AM7PR03MB65000820CA5CED44590A99F18C172@AM7PR03MB6500.eurprd03.prod.outlook.com>,AW: AW: EORI Antrag 256227/2024,1714123931534,EUR05-VI1-obe.outbound.protection.outlook.com,mehmet.aydogan@keimelmayr.at,office@stamm-baum.at,hamzawalker0@gmail.com,1714123946976,QUEUED,250,2.0.0 Email queued for processing.,mx1.improvmx.com,mail-vi1eur05on20701.outbound.protection.outlook.com.
<AM7PR03MB65000820CA5CED44590A99F18C172@AM7PR03MB6500.eurprd03.prod.outlook.com>,AW: AW: EORI Antrag 256227/2024,1714123931534,EUR05-VI1-obe.outbound.protection.outlook.com,mehmet.aydogan@keimelmayr.at,office@stamm-baum.at,hamzawalker0@gmail.com,1714123991892,SOFT-BOUNCE,450,4.2.1 The email took too long to be verified. We will try again in 10s (#id-5.9.4),mx1.improvmx.com,antispam.improvmx.com
